512195,9350
512195,8836
512195,8838
512195,9600
512195,949
585245,359724
585245,381902
585245,405774
585245,331482
585245,332672
876716,791
876716,439
876716,7555
876716,35056
876716,10258
654974,49854
654974,8871
654974,9479
654974,772
654974,9021
550988,339403
550988,337401
550988,337404
550988,403310
550988,385128
877183,51162
877183,9473
877183,55465
877183,76535
877183,877
568124,8916
568124,9016
568124,9023
568124,9502
568124,8355
459151,756
459151,772
459151,408
459151,425
459151,433
639721,639721
639721,3525
639721,3563
639721,2907
639721,2978
451048,337401
451048,337404
451048,382748
451048,385128
451048,353486
589754,589754
589754,576784
589754,775
589754,742922
589754,264038
871964,275
871964,4232
871964,924
871964,948
871964,2330
508943,747
508943,756
508943,764
508943,786
508943,787
425909,2978
425909,2979
425909,3980
425909,1369
425909,5549
805411,9339
805411,760
805411,9029
805411,9038
805411,10330
762469,3525
762469,3563
762469,2907
762469,2978
762469,2979
675445,675445
675445,339404
675445,339060
675445,337401
675445,337404
379686,756
379686,433
379686,314
379686,7214
379686,45317
337404,9312
337404,9319
337404,9320
337404,9325
337404,9355
760747,769
760747,773
760747,431
760747,338
760747,388
885458,9336
885458,9339
885458,9340
885458,9352
885458,9353
772436,9312
772436,9313
772436,9316
772436,9319
772436,9323
529203,3170
529203,1369
529203,5549
529203,5550
529203,5559
846167,3525
846167,3563
846167,3580
846167,2907
846167,2924
879163,704
879163,747
879163,754
879163,755
879163,760
809065,3525
809065,3563
809065,2907
809065,2978
809065,2979
726684,414
726684,415
726684,314
726684,364
726684,7549
613098,741228
613098,845422
613098,874199
613098,805411
613098,809065
711475,532865
711475,529216
711475,531219
711475,600354
711475,545237
755812,59859
755812,57431
755812,59387
755812,59108
755812,56590
812204,599521
812204,613200
812204,613583
812204,595172
812204,599960
324857,9320
324857,9342
324857,9377
324857,8850
324857,8922
813258,286192
813258,298115
813258,256835
813258,253980
813258,268168
641501,9320
641501,9325
641501,9342
641501,8850
641501,8913
840756,704
840756,747
840756,760
840756,762
840756,765
843906,9312
843906,9373
843906,9392
843906,8814
843906,8839
354912,3933
354912,3170
354912,1360
354912,1391
354912,5552
573164,62395
573164,65759
573164,62764
573164,59860
573164,63710
846214,846214
846214,17414
846214,32195
846214,43838
846214,71068
347201,378108
347201,379088
347201,347201
347201,357786
347201,304023
587807,736073
587807,736074
587807,253
587807,285
587807,120
852663,106164
852663,137106
852663,280217
852663,431562
852663,392536
597316,335360
597316,201676
597316,423949
597316,597316
597316,15906
585083,2907
585083,3170
585083,919
585083,920
585083,950
785533,324852
785533,357096
785533,326423
785533,385128
785533,331446
522478,704
522478,707
522478,708
522478,709
522478,710
508442,62211
508442,59440
508442,57431
508442,52449
508442,62177
43074,745
43074,439
43074,37950
43074,43074
43074,31170
729720,9312
729720,9313
729720,9316
729720,9319
729720,9323
400160,62211
400160,64328
400160,64688
400160,59387
400160,62177
449406,324849
449406,324852
449406,378236
449406,385103
449406,328111
763873,339404
763873,339060
763873,337401
763873,337404
763873,378112
617502,8913
617502,8923
617502,8966
617502,8316
617502,7459
613583,786705
613583,800669
613583,709629
613583,799497
613583,2907
482321,3594
482321,3980
482321,772
482321,433
482321,10022
680319,62395
680319,65759
680319,62764
680319,59860
680319,63710
678580,9336
678580,9339
678580,9340
678580,9352
678580,9353
531219,3558
531219,3594
531219,2454
531219,2486
531219,3933
550205,573699
550205,663558
550205,652754
550205,839436
550205,768076
768744,9320
768744,9323
768744,9342
768744,8839
768744,8850
834404,9593
834404,2300
834404,10715
834404,834404
834404,843906
857702,62395
857702,65759
857702,62764
857702,59860
857702,63710
623135,435
623135,10971
623135,95
623135,2133
623135,4643
773660,339404
773660,339419
773660,337404
773660,378108
773660,354278
763532,10019
763532,544
763532,1824
763532,9007
763532,9029
214756,227159
214756,325133
214756,316727
214756,290859
214756,339530
784500,599521
784500,600354
784500,613911
784500,615129
784500,613200
293660,2109
293660,4442
293660,1372
293660,5516
293660,5559
410113,3933
410113,756
410113,433
410113,10020
410113,10060
335797,9325
335797,8916
335797,9016
335797,9023
335797,9502
887645,3525
887645,3563
887645,2907
887645,2978
887645,2979
572154,66105
572154,64246
572154,68555
572154,50087
572154,52449
532067,66105
532067,64246
532067,68555
532067,64688
532067,56906
741074,3170
741074,5559
741074,756
741074,408
741074,425
4564,337404
4564,328111
4564,331482
4564,241239
4564,285783
569094,9320
569094,9323
569094,9342
569094,8850
569094,8960
800497,9312
800497,9348
800497,9373
800497,8814
800497,8835
883648,339404
883648,337404
883648,354278
883648,354279
883648,324849
811367,286192
811367,298115
811367,256835
811367,253980
811367,268168
882812,613583
882812,599960
882812,602307
882812,609197
882812,666751
653349,378112
653349,354912
653349,240832
653349,252838
653349,273481
800823,9313
800823,9373
800823,8978
800823,9009
800823,9030
347626,9313
347626,9373
347626,9377
347626,8966
347626,8978
8871,8871
8871,9021
8871,9567
8871,8392
8871,9969
98566,2978
98566,1656
98566,3021
98566,3132
98566,3177
384018,3580
384018,2252
384018,2275
384018,2109
384018,3050
585,599521
585,667520
585,587272
585,14836
585,20453
607259,4141
607259,11002
607259,10214
607259,10476
607259,2758
454626,707
454626,756
454626,773
454626,788
454626,402
808,9312
808,9325
808,9334
808,9387
808,8913
18785,1487
18785,920
18785,924
18785,979
18785,4247
774456,375785
774456,340488
774456,390051
774456,10538
774456,1281
330457,337401
330457,337404
330457,354279
330457,324849
330457,324852
383498,62764
383498,59859
383498,63710
383498,60304
383498,59429
786705,9377
786705,8967
786705,8363
786705,7326
786705,598
400155,2907
400155,3170
400155,5559
400155,755
400155,756
106646,66125
106646,63197
106646,60308
106646,64686
106646,51608
57214,223702
57214,325133
57214,325189
57214,345922
57214,277685
360920,2447
360920,2454
360920,3170
360920,2899
360920,1360
438695,62211
438695,62177
438695,51162
438695,57800
438695,9325
654028,556803
654028,602734
654028,609972
654028,768509
654028,753926
177572,9312
177572,9316
177572,9320
177572,9335
177572,9342
578908,3132
578908,4147
578908,1391
578908,2898
578908,773
72105,796
72105,797
72105,489
72105,319
72105,320
593910,285733
593910,254263
593910,277834
593910,444902
593910,417320
662237,359724
662237,381902
662237,405774
662237,331482
662237,332672
50546,3597
50546,3933
50546,3784
50546,1391
50546,791
193893,60672
193893,65754
193893,63197
193893,64328
193893,57214
75624,378108
75624,379088
75624,347201
75624,357786
75624,304023
49519,756
49519,772
49519,788
49519,791
49519,1164
727745,9325
727745,8856
727745,8913
727745,8965
727745,8966
112679,10073
112679,11918
112679,813
112679,8859
112679,9486
38365,377897
38365,405314
38365,385103
38365,264660
38365,286565
809,602734
809,609972
809,652754
809,573699
809,576071
425,744
